,date,basinName,damName,activeVolume,id,damId
0,2025-11-05 00:00:00+03:00,Doğu Akdeniz,ERMENEK,657.63,96989707,54
1,2025-11-05 00:00:00+03:00,Doğu Akdeniz,ALAKÖPRÜ,21.68,96989727,56
2,2025-11-05 00:00:00+03:00,Seyhan,ÇATALAN,18.45,96989681,57
3,2025-11-05 00:00:00+03:00,Seyhan,YEDİGÖZE,8.41,96989704,60
4,2025-11-05 00:00:00+03:00,Seyhan,FEKE-2,13.13,96989702,61
5,2025-11-05 00:00:00+03:00,Seyhan,MENGE HES,1.89,96989700,62
6,2025-11-05 00:00:00+03:00,Seyhan,KAVŞAKBENDİ HES,3.46,96989716,64
7,2025-11-05 00:00:00+03:00,Seyhan,GÖKTAŞ-1,3.51,96989725,66
8,2025-11-05 00:00:00+03:00,Ceyhan,ASLANTAŞ,285.2,96989675,67
9,2025-11-05 00:00:00+03:00,Ceyhan,MENZELET,300.61,96989688,68
10,2025-11-05 00:00:00+03:00,Ceyhan,SIR,209.23,96989695,69
11,2025-11-05 00:00:00+03:00,Ceyhan,KOZAN,10.17,96989691,70
12,2025-11-05 00:00:00+03:00,Ceyhan,KARTALKAYA,21.66,96989717,72
13,2025-11-05 00:00:00+03:00,Ceyhan,BERKE ,272.98,96989715,73
14,2025-11-05 00:00:00+03:00,Ceyhan,KILAVUZLU,3.91,96989709,74
15,2025-11-05 00:00:00+03:00,Ceyhan,KANDİL HES,53.64,96989718,75
16,2025-11-05 00:00:00+03:00,Ceyhan,SARIGÜZEL HES,3.72,96989720,76
17,2025-11-05 00:00:00+03:00,Doğu Karadeniz,KÜRTÜN,18.95,96989684,77
18,2025-11-05 00:00:00+03:00,Doğu Karadeniz,TORUL,1.14,96989697,78
19,2025-11-05 00:00:00+03:00,Doğu Karadeniz,TOPÇAM-ORDU,31.89,96989712,80
20,2025-11-05 00:00:00+03:00,Van Gölü,SARIMEHMET,24.67,96989705,83
21,2025-11-05 00:00:00+03:00,Van Gölü,ZERNEK,32.22,96989685,84
22,2025-11-05 00:00:00+03:00,Doğu Akdeniz,YALNIZARDIÇ,2.71,96989729,101
23,2025-11-05 00:00:00+03:00,Yeşilırmak,ÇEKEREK,104.68,96989734,301
24,2025-11-05 00:00:00+03:00,Sakarya,KARGI BARAJI VE HES,6.72,96989733,401
25,2025-11-05 00:00:00+03:00,Asi,BÜYÜK KARAÇAY,0.13,96989737,601
26,2025-11-05 00:00:00+03:00,Batı Karadeniz,KİRAZLIKÖPRÜ,0.82,96989732,801
27,2025-11-05 00:00:00+03:00,Antalya,MANAVGAT,50.51,96989706,20
28,2025-11-05 00:00:00+03:00,Sakarya,GÜRSÖĞÜT-1 BARAJI,18.87,96989736,702
29,2025-11-05 00:00:00+03:00,Doğu Karadeniz,ALADEREÇAM,2.22,96989724,705
30,2025-11-05 00:00:00+03:00,Marmara,YENİCE-GÖNEN,5.94,96989687,1
31,2025-11-05 00:00:00+03:00,Susurluk,ÇAYGÖREN,16.86,96989703,2
32,2025-11-05 00:00:00+03:00,Susurluk,MANYAS,58.15,96989721,3
33,2025-11-05 00:00:00+03:00,Susurluk,ÇINARCIK,138.96,96989692,4
34,2025-11-05 00:00:00+03:00,Susurluk,DEVECİKONAĞI,1.49,96989714,5
35,2025-11-05 00:00:00+03:00,Kuzey Ege,BAYRAMİÇ,0.0,96989723,6
36,2025-11-05 00:00:00+03:00,Büyük Menderes,ÇAPALI DİNAR KARAKUYU,3.55,96989728,10
37,2025-11-05 00:00:00+03:00,Büyük Menderes,CİNDERE,26.52,96989698,11
38,2025-11-05 00:00:00+03:00,Antalya,KARACAÖREN II,3.74,96989690,18
39,2025-11-05 00:00:00+03:00,Antalya,SORGUN,2.66,96989726,23
40,2025-11-05 00:00:00+03:00,Sakarya,YENİCE,0.0,96989694,25
41,2025-11-05 00:00:00+03:00,Sakarya,SARIYAR,474.29,96989689,26
42,2025-11-05 00:00:00+03:00,Batı Karadeniz,HASANLAR,13.86,96989686,28
43,2025-11-05 00:00:00+03:00,Batı Karadeniz,KÖPRÜBAŞI,35.66,96989710,29
44,2025-11-05 00:00:00+03:00,Yeşilırmak,KILIÇKAYA,502.7,96989683,31
45,2025-11-05 00:00:00+03:00,Yeşilırmak,H.UĞURLU,303.93,96989678,32
46,2025-11-05 00:00:00+03:00,Yeşilırmak,ALMUS,191.61,96989674,35
47,2025-11-05 00:00:00+03:00,Yeşilırmak,TEPEKIŞLA,11.17,96989740,38
48,2025-11-05 00:00:00+03:00,Kızılırmak,ALTINKAYA,929.07,96989676,41
49,2025-11-05 00:00:00+03:00,Kızılırmak,DERBENT,43.5,96989673,42
50,2025-11-05 00:00:00+03:00,Kızılırmak,KESİKKÖPRÜ,52.92,96989699,44
51,2025-11-05 00:00:00+03:00,Kızılırmak,KAPULUKAYA,75.45,96989682,45
52,2025-11-05 00:00:00+03:00,Kızılırmak,OBRUK,101.42,96989731,47
53,2025-11-05 00:00:00+03:00,Kızılırmak,ÇERMİKLER,4.24,96989722,50
54,2025-11-05 00:00:00+03:00,Doğu Akdeniz,BERDAN,40.49,96989672,53
55,2025-11-05 00:00:00+03:00,Doğu Akdeniz,GÖKÇELER,3.05,96989738,1001
56,2025-11-05 00:00:00+03:00,Seyhan,KARAKUZ,1.54,96989739,1002
57,2025-11-05 00:00:00+03:00,Doğu Akdeniz,PAMUKLUK,142.11,96989741,1101
58,2025-11-05 00:00:00+03:00,Van Gölü,MORGEDİK,52.07,96989742,1201
59,2025-11-05 00:00:00+03:00,Sakarya,GÜRSÖĞÜT-2,1.03,96989735,1701
60,2025-11-05 00:00:00+03:00,Antalya,OYMAPINAR,17.15,96989693,19
61,2025-11-05 00:00:00+03:00,Sakarya,GÖKÇEKAYA,62.53,96989677,24
62,2025-11-05 00:00:00+03:00,Sakarya,BOĞAZKÖY,0.32,96989719,27
63,2025-11-05 00:00:00+03:00,Yeşilırmak,ATAKÖY,1.03,96989701,30
64,2025-11-05 00:00:00+03:00,Yeşilırmak,ÇAMLIGÖZE,17.11,96989680,33
65,2025-11-05 00:00:00+03:00,Yeşilırmak,GÖLOVA,8.5,96989711,36
66,2025-11-05 00:00:00+03:00,Kızılırmak,BOYABAT,570.0,96989708,49
67,2025-11-05 00:00:00+03:00,Kızılırmak,GÜLDÜRCEK,4.48,96989696,51
68,2025-11-05 00:00:00+03:00,Ceyhan,ADATEPE,117.23,96989730,201
69,2025-11-05 00:00:00+03:00,Doğu Karadeniz,YAŞMAKLI,5.6,96989713,703
70,2025-11-05 00:00:00+03:00,Doğu Akdeniz,GEZENDE,28.26,96989679,52
71,2025-11-05 00:00:00+03:00,Doğu Akdeniz,ERMENEK,657.63,96989707,54
72,2025-11-05 00:00:00+03:00,Doğu Akdeniz,ALAKÖPRÜ,21.68,96989727,56
73,2025-11-05 00:00:00+03:00,Seyhan,ÇATALAN,18.45,96989681,57
74,2025-11-05 00:00:00+03:00,Seyhan,YEDİGÖZE,8.41,96989704,60
75,2025-11-05 00:00:00+03:00,Seyhan,FEKE-2,13.13,96989702,61
76,2025-11-05 00:00:00+03:00,Seyhan,MENGE HES,1.89,96989700,62
77,2025-11-05 00:00:00+03:00,Seyhan,KAVŞAKBENDİ HES,3.46,96989716,64
78,2025-11-05 00:00:00+03:00,Seyhan,GÖKTAŞ-1,3.51,96989725,66
79,2025-11-05 00:00:00+03:00,Ceyhan,ASLANTAŞ,285.2,96989675,67
80,2025-11-05 00:00:00+03:00,Ceyhan,MENZELET,300.61,96989688,68
81,2025-11-05 00:00:00+03:00,Ceyhan,SIR,209.23,96989695,69
82,2025-11-05 00:00:00+03:00,Ceyhan,KOZAN,10.17,96989691,70
83,2025-11-05 00:00:00+03:00,Ceyhan,KARTALKAYA,21.66,96989717,72
84,2025-11-05 00:00:00+03:00,Ceyhan,BERKE ,272.98,96989715,73
85,2025-11-05 00:00:00+03:00,Ceyhan,KILAVUZLU,3.91,96989709,74
86,2025-11-05 00:00:00+03:00,Ceyhan,KANDİL HES,53.64,96989718,75
87,2025-11-05 00:00:00+03:00,Ceyhan,SARIGÜZEL HES,3.72,96989720,76
88,2025-11-05 00:00:00+03:00,Doğu Karadeniz,KÜRTÜN,18.95,96989684,77
89,2025-11-05 00:00:00+03:00,Doğu Karadeniz,TORUL,1.14,96989697,78
90,2025-11-05 00:00:00+03:00,Doğu Karadeniz,TOPÇAM-ORDU,31.89,96989712,80
91,2025-11-05 00:00:00+03:00,Van Gölü,SARIMEHMET,24.67,96989705,83
92,2025-11-05 00:00:00+03:00,Van Gölü,ZERNEK,32.22,96989685,84
93,2025-11-05 00:00:00+03:00,Doğu Akdeniz,YALNIZARDIÇ,2.71,96989729,101
94,2025-11-05 00:00:00+03:00,Yeşilırmak,ÇEKEREK,104.68,96989734,301
95,2025-11-05 00:00:00+03:00,Sakarya,KARGI BARAJI VE HES,6.72,96989733,401
96,2025-11-05 00:00:00+03:00,Asi,BÜYÜK KARAÇAY,0.13,96989737,601
97,2025-11-05 00:00:00+03:00,Batı Karadeniz,KİRAZLIKÖPRÜ,0.82,96989732,801
98,2025-11-05 00:00:00+03:00,Antalya,MANAVGAT,50.51,96989706,20
99,2025-11-05 00:00:00+03:00,Sakarya,GÜRSÖĞÜT-1 BARAJI,18.87,96989736,702
100,2025-11-05 00:00:00+03:00,Doğu Karadeniz,ALADEREÇAM,2.22,96989724,705
101,2025-11-05 00:00:00+03:00,Marmara,YENİCE-GÖNEN,5.94,96989687,1
102,2025-11-05 00:00:00+03:00,Susurluk,ÇAYGÖREN,16.86,96989703,2
103,2025-11-05 00:00:00+03:00,Susurluk,MANYAS,58.15,96989721,3
104,2025-11-05 00:00:00+03:00,Susurluk,ÇINARCIK,138.96,96989692,4
105,2025-11-05 00:00:00+03:00,Susurluk,DEVECİKONAĞI,1.49,96989714,5
106,2025-11-05 00:00:00+03:00,Kuzey Ege,BAYRAMİÇ,0.0,96989723,6
107,2025-11-05 00:00:00+03:00,Büyük Menderes,ÇAPALI DİNAR KARAKUYU,3.55,96989728,10
108,2025-11-05 00:00:00+03:00,Büyük Menderes,CİNDERE,26.52,96989698,11
109,2025-11-05 00:00:00+03:00,Antalya,KARACAÖREN II,3.74,96989690,18
110,2025-11-05 00:00:00+03:00,Antalya,SORGUN,2.66,96989726,23
111,2025-11-05 00:00:00+03:00,Sakarya,YENİCE,0.0,96989694,25
112,2025-11-05 00:00:00+03:00,Sakarya,SARIYAR,474.29,96989689,26
113,2025-11-05 00:00:00+03:00,Batı Karadeniz,HASANLAR,13.86,96989686,28
114,2025-11-05 00:00:00+03:00,Batı Karadeniz,KÖPRÜBAŞI,35.66,96989710,29
115,2025-11-05 00:00:00+03:00,Yeşilırmak,KILIÇKAYA,502.7,96989683,31
116,2025-11-05 00:00:00+03:00,Yeşilırmak,H.UĞURLU,303.93,96989678,32
117,2025-11-05 00:00:00+03:00,Yeşilırmak,ALMUS,191.61,96989674,35
118,2025-11-05 00:00:00+03:00,Yeşilırmak,TEPEKIŞLA,11.17,96989740,38
119,2025-11-05 00:00:00+03:00,Kızılırmak,ALTINKAYA,929.07,96989676,41
120,2025-11-05 00:00:00+03:00,Kızılırmak,DERBENT,43.5,96989673,42
121,2025-11-05 00:00:00+03:00,Kızılırmak,KESİKKÖPRÜ,52.92,96989699,44
122,2025-11-05 00:00:00+03:00,Kızılırmak,KAPULUKAYA,75.45,96989682,45
123,2025-11-05 00:00:00+03:00,Kızılırmak,OBRUK,101.42,96989731,47
124,2025-11-05 00:00:00+03:00,Kızılırmak,ÇERMİKLER,4.24,96989722,50
125,2025-11-05 00:00:00+03:00,Doğu Akdeniz,BERDAN,40.49,96989672,53
126,2025-11-05 00:00:00+03:00,Doğu Akdeniz,GÖKÇELER,3.05,96989738,1001
127,2025-11-05 00:00:00+03:00,Seyhan,KARAKUZ,1.54,96989739,1002
