,date,basinName,damName,energyGeneration,damId
0,2025-11-05 00:00:00+03:00,Doğu Akdeniz,ERMENEK,497.45,54
1,2025-11-05 00:00:00+03:00,Doğu Akdeniz,ALAKÖPRÜ,3.69,56
2,2025-11-05 00:00:00+03:00,Seyhan,ÇATALAN,2.31,57
3,2025-11-05 00:00:00+03:00,Seyhan,YEDİGÖZE,1.47,60
4,2025-11-05 00:00:00+03:00,Seyhan,FEKE-2,1.87,61
5,2025-11-05 00:00:00+03:00,Seyhan,MENGE HES,0.24,62
6,2025-11-05 00:00:00+03:00,Seyhan,KAVŞAKBENDİ HES,0.71,64
7,2025-11-05 00:00:00+03:00,Seyhan,GÖKTAŞ-1,1.1,66
8,2025-11-05 00:00:00+03:00,Ceyhan,ASLANTAŞ,40.23,67
9,2025-11-05 00:00:00+03:00,Ceyhan,MENZELET,65.36,68
10,2025-11-05 00:00:00+03:00,Ceyhan,SIR,45.74,69
11,2025-11-05 00:00:00+03:00,Ceyhan,KOZAN,0.79,70
12,2025-11-05 00:00:00+03:00,Ceyhan,KARTALKAYA,1.81,72
13,2025-11-05 00:00:00+03:00,Ceyhan,BERKE ,125.68,73
14,2025-11-05 00:00:00+03:00,Ceyhan,KILAVUZLU,0.49,74
15,2025-11-05 00:00:00+03:00,Ceyhan,KANDİL HES,27.65,75
16,2025-11-05 00:00:00+03:00,Ceyhan,SARIGÜZEL HES,0.9,76
17,2025-11-05 00:00:00+03:00,Doğu Karadeniz,KÜRTÜN,3.9,77
18,2025-11-05 00:00:00+03:00,Doğu Karadeniz,TORUL,0.66,78
19,2025-11-05 00:00:00+03:00,Doğu Karadeniz,TOPÇAM-ORDU,19.02,80
20,2025-11-05 00:00:00+03:00,Van Gölü,SARIMEHMET,1.69,83
21,2025-11-05 00:00:00+03:00,Van Gölü,ZERNEK,3.34,84
22,2025-11-05 00:00:00+03:00,Doğu Akdeniz,YALNIZARDIÇ,0.74,101
23,2025-11-05 00:00:00+03:00,Yeşilırmak,ÇEKEREK,12.61,301
24,2025-11-05 00:00:00+03:00,Sakarya,KARGI BARAJI VE HES,1.42,401
25,2025-11-05 00:00:00+03:00,Asi,BÜYÜK KARAÇAY,0.01,601
26,2025-11-05 00:00:00+03:00,Batı Karadeniz,KİRAZLIKÖPRÜ,0.05,801
27,2025-11-05 00:00:00+03:00,Antalya,MANAVGAT,2.29,20
28,2025-11-05 00:00:00+03:00,Sakarya,GÜRSÖĞÜT-1 BARAJI,2.76,702
29,2025-11-05 00:00:00+03:00,Doğu Karadeniz,ALADEREÇAM,1.09,705
30,2025-11-05 00:00:00+03:00,Marmara,YENİCE-GÖNEN,0.54,1
31,2025-11-05 00:00:00+03:00,Susurluk,ÇAYGÖREN,0.89,2
32,2025-11-05 00:00:00+03:00,Susurluk,MANYAS,7.09,3
33,2025-11-05 00:00:00+03:00,Susurluk,ÇINARCIK,111.52,4
34,2025-11-05 00:00:00+03:00,Susurluk,DEVECİKONAĞI,0.1,5
35,2025-11-05 00:00:00+03:00,Kuzey Ege,BAYRAMİÇ,0.0,6
36,2025-11-05 00:00:00+03:00,Büyük Menderes,ÇAPALI DİNAR KARAKUYU,1.07,10
37,2025-11-05 00:00:00+03:00,Büyük Menderes,CİNDERE,1.89,11
38,2025-11-05 00:00:00+03:00,Antalya,KARACAÖREN II,1.0,18
39,2025-11-05 00:00:00+03:00,Antalya,SORGUN,1.35,23
40,2025-11-05 00:00:00+03:00,Sakarya,YENİCE,0.0,25
41,2025-11-05 00:00:00+03:00,Sakarya,SARIYAR,87.57,26
42,2025-11-05 00:00:00+03:00,Batı Karadeniz,HASANLAR,1.49,28
43,2025-11-05 00:00:00+03:00,Batı Karadeniz,KÖPRÜBAŞI,17.03,29
44,2025-11-05 00:00:00+03:00,Yeşilırmak,KILIÇKAYA,91.73,31
45,2025-11-05 00:00:00+03:00,Yeşilırmak,H.UĞURLU,77.63,32
46,2025-11-05 00:00:00+03:00,Yeşilırmak,ALMUS,22.83,35
47,2025-11-05 00:00:00+03:00,Yeşilırmak,TEPEKIŞLA,1.13,38
48,2025-11-05 00:00:00+03:00,Kızılırmak,ALTINKAYA,255.87,41
49,2025-11-05 00:00:00+03:00,Kızılırmak,DERBENT,2.47,42
50,2025-11-05 00:00:00+03:00,Kızılırmak,KESİKKÖPRÜ,4.88,44
51,2025-11-05 00:00:00+03:00,Kızılırmak,KAPULUKAYA,7.23,45
52,2025-11-05 00:00:00+03:00,Kızılırmak,OBRUK,15.99,47
53,2025-11-05 00:00:00+03:00,Kızılırmak,ÇERMİKLER,0.28,50
54,2025-11-05 00:00:00+03:00,Doğu Akdeniz,BERDAN,2.37,53
55,2025-11-05 00:00:00+03:00,Doğu Akdeniz,GÖKÇELER,0.43,1001
56,2025-11-05 00:00:00+03:00,Seyhan,KARAKUZ,2.26,1002
57,2025-11-05 00:00:00+03:00,Doğu Akdeniz,PAMUKLUK,33.35,1101
58,2025-11-05 00:00:00+03:00,Van Gölü,MORGEDİK,6.27,1201
59,2025-11-05 00:00:00+03:00,Sakarya,GÜRSÖĞÜT-2,0.07,1701
60,2025-11-05 00:00:00+03:00,Antalya,OYMAPINAR,6.0,19
61,2025-11-05 00:00:00+03:00,Sakarya,GÖKÇEKAYA,16.69,24
62,2025-11-05 00:00:00+03:00,Sakarya,BOĞAZKÖY,0.01,27
63,2025-11-05 00:00:00+03:00,Yeşilırmak,ATAKÖY,0.04,30
64,2025-11-05 00:00:00+03:00,Yeşilırmak,ÇAMLIGÖZE,1.09,33
65,2025-11-05 00:00:00+03:00,Yeşilırmak,GÖLOVA,0.21,36
66,2025-11-05 00:00:00+03:00,Kızılırmak,BOYABAT,183.87,49
